Data,Period,Organisation unit,Value,Numerator,Denominator,Factor,Multiplier,Divisor
MAL - Malaria cases tested (total),January 2024,Lao PDR,11854.0,11854.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),January 2024,01 Vientiane Capital,102.0,102.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),January 2024,02 Phongsali,164.0,164.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),January 2024,03 Louangnamtha,123.0,123.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),January 2024,04 Oudomxai,169.0,169.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),January 2024,05 Bokeo,80.0,80.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),January 2024,06 Louangphabang,427.0,427.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),January 2024,07 Houaphan,205.0,205.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),January 2024,08 Xainyabouli,301.0,301.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),January 2024,09 Xiangkhouang,148.0,148.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),January 2024,10 Vientiane,302.0,302.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),January 2024,11 Bolikhamxai,101.0,101.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),January 2024,12 Khammouan,515.0,515.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),January 2024,13 Savannakhet,1990.0,1990.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),January 2024,14 Salavan,2074.0,2074.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),January 2024,15 Xekong,985.0,985.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),January 2024,16 Champasak,2937.0,2937.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),January 2024,17 Attapu,1162.0,1162.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),January 2024,18 Xaisomboun,69.0,69.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,Lao PDR,10380.0,10380.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,01 Vientiane Capital,109.0,109.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,02 Phongsali,240.0,240.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,03 Louangnamtha,109.0,109.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,04 Oudomxai,269.0,269.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,05 Bokeo,72.0,72.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,06 Louangphabang,408.0,408.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,07 Houaphan,225.0,225.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,08 Xainyabouli,265.0,265.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,09 Xiangkhouang,142.0,142.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,10 Vientiane,227.0,227.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,11 Bolikhamxai,118.0,118.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,12 Khammouan,540.0,540.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,13 Savannakhet,1625.0,1625.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,14 Salavan,1736.0,1736.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,15 Xekong,731.0,731.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,16 Champasak,2696.0,2696.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,17 Attapu,796.0,796.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),February 2024,18 Xaisomboun,72.0,72.0,1.0,1.0,1,1
MAL - Malaria cases tested (total),March 2024,Lao PDR,11837.0,11837.0,1.0,1.0,1,1
